block_code,block_name,district_name
3276,Anugul,Angul
3277,Athmallik,Angul
3278,Banarpal,Angul
3279,Chhendipada,Angul
3280,Kaniha,Angul
3281,Kishorenagar,Angul
3282,Palalahada,Angul
3283,Talacher,Angul
3346,Barkote,Deogarh
3347,Reamal,Deogarh
3348,Tileibani,Deogarh
3349,Bhuban,Dhenkanal
3350,Dhenkanal Sadar,Dhenkanal
3351,Gondia,Dhenkanal
3352,Hindol,Dhenkanal
3353,Kamakhyanagar,Dhenkanal
3354,Kankada Had,Dhenkanal
3355,Odapada,Dhenkanal
3356,Parjang,Dhenkanal
3456,Balianta,Khordha
3457,Balipatna,Khordha
3458,Banapur,Khordha
3459,Begunia,Khordha
3460,Bhubaneswar,Khordha
3461,Bolagarh,Khordha
3462,Chilika,Khordha
3463,Jatni,Khordha
3464,Khordha,Khordha
3465,Tangi,Khordha
3487,Badasahi,Mayurbhanj
3488,Bahalda,Mayurbhanj
3489,Bangriposi,Mayurbhanj
3490,Baripada,Mayurbhanj
3491,Betnoti,Mayurbhanj
3492,Bijatala,Mayurbhanj
3493,Bisoi,Mayurbhanj
3494,Gopabandhunagar,Mayurbhanj
3495,Jamda,Mayurbhanj
3496,Joshipur,Mayurbhanj
3497,Kaptipada,Mayurbhanj
3498,Karanjia,Mayurbhanj
3499,Khunta,Mayurbhanj
3500,Kuliana,Mayurbhanj
3501,Kusumi,Mayurbhanj
3502,Morada,Mayurbhanj
3503,Rairangpur,Mayurbhanj
3504,Raruan,Mayurbhanj
3505,Rasgovindpur,Mayurbhanj
3506,Samakhunta,Mayurbhanj
3507,Saraskana,Mayurbhanj
3508,Sukruli,Mayurbhanj
3509,Suliapada,Mayurbhanj
3510,Thakurmunda,Mayurbhanj
3511,Tiring,Mayurbhanj
3512,Udala,Mayurbhanj
3536,Astaranga,Puri
3537,Brahmagiri,Puri
3538,Delanga,Puri
3539,Gop,Puri
3540,Kakat Pur,Puri
3541,Kanas,Puri
3542,Krushnaprasad,Puri
3543,Nimapada,Puri
3544,Pipili,Puri
3545,Sadar,Puri
3546,Satyabadi,Puri
3558,Bamra,Sambalpur
3559,Dhankauda,Sambalpur
3560,Jamankira,Sambalpur
3561,Jujomura,Sambalpur
3562,Kuchinda,Sambalpur
3563,Maneswar,Sambalpur
3564,Naktideul,Sambalpur
3565,Rairakhol,Sambalpur
3566,Rengali,Sambalpur
