district_code,district_name,state_name
344,Angul,Odisha
345,Balangir,Odisha
346,Balasore,Odisha
347,Bargarh,Odisha
348,Bhadrak,Odisha
349,Boudh,Odisha
350,Cuttack,Odisha
351,Deogarh,Odisha
352,Dhenkanal,Odisha
353,Gajapati,Odisha
354,Ganjam,Odisha
355,Jagatsinghapur,Odisha
356,Jajpur,Odisha
357,Jharsuguda,Odisha
358,Kalahandi,Odisha
359,Kandhamal,Odisha
360,Kendrapara,Odisha
361,Keonjhar,Odisha
362,Khordha,Odisha
363,Koraput,Odisha
364,Malkangiri,Odisha
365,Mayurbhanj,Odisha
366,Nabarangpur,Odisha
367,Nayagarh,Odisha
368,Nuapada,Odisha
369,Puri,Odisha
370,Rayagada,Odisha
371,Sambalpur,Odisha
372,Sonepur,Odisha
373,Sundargarh,Odisha
